Unnamed: 0,starttime  /  usertype,starttime  /  usertype.1,starttime  /  usertype.2,starttime  /  usertype.3,starttime  /  usertype.4,starttime  /  usertype.5,starttime  /  usertype.6,starttime  /  usertype.7,starttime  /  usertype.8,starttime  /  usertype.9,starttime  /  usertype.10,starttime  /  usertype.11,starttime  /  usertype.12,starttime  /  usertype.13,starttime  /  usertype.14,starttime  /  usertype.15,starttime  /  usertype.16,starttime  /  usertype.17,starttime  /  usertype.18,starttime  /  usertype.19,starttime  /  usertype.20,starttime  /  usertype.21,starttime  /  usertype.22,starttime  /  usertype.23,starttime  /  usertype.24,starttime  /  usertype.25,starttime  /  usertype.26,starttime  /  usertype.27,starttime  /  usertype.28,starttime  /  usertype.29,starttime  /  usertype.30,starttime  /  usertype.31,starttime  /  usertype.32,starttime  /  usertype.33,starttime  /  usertype.34,starttime  /  usertype.35,starttime  /  usertype.36,starttime  /  usertype.37,starttime  /  usertype.38,starttime  /  usertype.39,starttime  /  usertype.40,starttime  /  usertype.41,starttime  /  usertype.42,starttime  /  usertype.43,starttime  /  usertype.44,starttime  /  usertype.45,starttime  /  usertype.46,starttime  /  usertype.47
,0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22,23,23
,Customer,Subscriber,Customer,Subscriber,Customer,Subscriber,Customer,Subscriber,Customer,Subscriber,Customer,Subscriber,Customer,Subscriber,Customer,Subscriber,Customer,Subscriber,Customer,Subscriber,Customer,Subscriber,Customer,Subscriber,Customer,Subscriber,Customer,Subscriber,Customer,Subscriber,Customer,Subscriber,Customer,Subscriber,Customer,Subscriber,Customer,Subscriber,Customer,Subscriber,Customer,Subscriber,Customer,Subscriber,Customer,Subscriber,Customer,Subscriber
Avg. TripDuration_min,41,14,34,13,81,15,49,13,82,22,28,10,22,11,24,12,24,12,28,12,30,13,33,13,36,13,34,13,34,13,34,14,33,13,33,14,35,14,38,14,36,14,36,14,37,14,43,14
Count of starttime,"6,632","26,675","4,184","15,169","2,672","9,695","1,597","6,321","1,058","6,760","1,444","20,867","3,521","67,631","7,304","136,524","14,233","234,469","19,539","189,344","27,001","130,008","35,797","133,161","40,299","147,996","41,473","147,836","43,592","151,106","44,874","159,734","43,702","184,616","43,609","259,250","39,975","247,566","33,844","181,681","23,359","122,505","17,376","87,624","14,140","66,670","10,265","44,736"
