Unnamed: 0,Month of Date,Month of Date.1,Month of Date.2,Month of Date.3,Month of Date.4,Month of Date.5,Month of Date.6,Month of Date.7,Month of Date.8,Month of Date.9,Month of Date.10,Month of Date.11,Month of Date.12,Month of Date.13,Month of Date.14,Month of Date.15,Month of Date.16,Month of Date.17,Month of Date.18,Month of Date.19,Month of Date.20,Month of Date.21,Month of Date.22,Month of Date.23,Month of Date.24,Month of Date.25,Month of Date.26,Month of Date.27,Month of Date.28,Month of Date.29,Month of Date.30,Month of Date.31,Month of Date.32,Month of Date.33,Month of Date.34,Month of Date.35,Month of Date.36,Month of Date.37,Month of Date.38,Month of Date.39,Month of Date.40,Month of Date.41,Month of Date.42,Month of Date.43,Month of Date.44,Month of Date.45,Month of Date.46,Month of Date.47,Month of Date.48,Month of Date.49,Month of Date.50,Month of Date.51,Month of Date.52,Month of Date.53,Month of Date.54,Month of Date.55
,January 2013,February 2013,March 2013,April 2013,May 2013,June 2013,July 2013,August 2013,September 2013,October 2013,November 2013,December 2013,January 2014,February 2014,March 2014,April 2014,May 2014,June 2014,July 2014,August 2014,September 2014,October 2014,November 2014,December 2014,January 2015,February 2015,March 2015,April 2015,May 2015,June 2015,July 2015,August 2015,September 2015,October 2015,November 2015,December 2015,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017
Carrier Delays,"25,380","23,290","27,908","28,353","28,141","37,462","38,675","32,587","22,732","23,875","23,316","41,488","36,148","29,194","30,755","25,834","30,156","35,477","34,324","30,523","22,648","25,005","23,982","32,541","28,267","27,635","30,094","24,683","26,388","35,128","32,664","29,044","19,044","19,579","21,544","29,384","22,572","18,383","22,259","19,712","22,133","29,726","33,579","30,113","18,409","18,695","17,251","30,360","26,545","17,339","23,845","24,532","25,224","29,449","29,969","28,300"
Late Arrival Delays,"30,679","30,063","38,373","43,497","40,188","59,085","57,028","45,221","29,652","31,027","29,113","58,158","46,599","39,140","40,757","36,136","40,838","52,408","46,936","40,432","28,503","33,721","31,049","42,110","34,345","33,322","34,578","28,693","32,920","44,391","42,466","34,757","19,514","19,467","24,238","36,624","24,221","20,775","29,882","24,249","27,263","38,594","43,409","38,143","21,341","21,926","20,353","38,984","35,374","22,577","33,118","34,590","36,010","43,757","43,091","41,169"
NAS Delays,"29,176","27,469","32,640","36,241","33,565","40,690","42,276","31,869","22,541","25,132","23,114","40,135","31,143","29,815","28,706","27,788","30,168","37,150","32,073","31,143","28,068","31,810","27,393","33,378","29,879","29,530","28,283","26,001","26,555","31,692","29,068","26,605","19,332","19,784","22,637","27,318","21,693","20,390","28,067","20,919","23,442","28,523","32,090","31,645","21,905","21,916","19,978","30,869","32,372","22,373","29,593","29,961","33,514","33,883","32,647","31,916"
Security Delays,183,123,201,200,171,216,218,219,144,133,251,262,144,106,112,113,148,164,155,176,134,95,104,192,148,111,149,97,142,169,183,253,148,84,169,297,154,110,192,142,176,182,179,205,93,87,116,176,158,68,116,93,108,177,177,199
Weather Delays,"2,792","2,619","2,621","3,016","3,212","5,731","4,361","2,755","2,064","1,172","1,558","4,915","5,960","3,186","1,966","1,936","2,835","4,507","3,663","3,432","1,825","1,654","2,130","1,942","3,312","4,580","2,348","2,773","3,639","4,362","3,247","3,453","2,022","1,166","1,985","3,150","2,243","2,022","2,169","1,585","2,484","3,337","4,343","3,315","1,938",846,"1,173","3,204","3,249","1,907","1,967","2,968","1,823","3,452","4,196","3,124"
