Unnamed: 0,Carrier Name,Carrier Name.1,Carrier Name.2,Carrier Name.3,Carrier Name.4,Carrier Name.5,Carrier Name.6,Carrier Name.7,Carrier Name.8,Carrier Name.9,Carrier Name.10,Carrier Name.11,Carrier Name.12,Carrier Name.13,Carrier Name.14,Carrier Name.15,Carrier Name.16,Carrier Name.17,Carrier Name.18,Carrier Name.19,Carrier Name.20,Carrier Name.21,Carrier Name.22,Carrier Name.23,Carrier Name.24
,AirTran Airways Corporation,Alaska Airlines Inc.,Allegiant Air,American Airlines Inc.,American Eagle Airlines Inc.,Atlantic Southeast Airlines,Comair Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Endeavor Air Inc.,Envoy Air,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,JetBlue Airways,Mesa Airlines Inc.,Pinnacle Airlines Inc.,PSA Airlines Inc.,Republic Airline,SkyWest Airlines Inc.,Southwest Airlines Co.,Spirit Air Lines,United Air Lines Inc.,US Airways Inc.,Virgin America
Carrier Delay,0.3037,0.3098,0.4004,0.3939,0.3402,0.4554,0.4037,0.3793,0.4219,0.3797,0.3095,0.3765,0.2863,0.7809,0.3859,0.4033,0.4022,0.3416,0.2742,0.3316,0.3412,0.2112,0.3532,0.3849,0.2420
Late Aircraft Delay,0.3695,0.2435,0.2997,0.2973,0.2835,0.3558,0.1084,0.1725,0.2633,0.2783,0.3175,0.3476,0.3083,0.1888,0.2904,0.3155,0.2337,0.3600,0.3483,0.3739,0.4835,0.2301,0.3536,0.2184,0.3764
NAS Delay,0.3137,0.4077,0.2310,0.2649,0.2897,0.1644,0.4140,0.4085,0.2614,0.3074,0.2937,0.2567,0.3919,0.0133,0.2982,0.2315,0.3360,0.2356,0.3347,0.2616,0.1510,0.5358,0.2555,0.3734,0.2678
Weather Delay,0.0131,0.0345,0.0611,0.0424,0.0861,0.0235,0.0731,0.0350,0.0528,0.0331,0.0764,0.0187,0.0134,0.0132,0.0216,0.0444,0.0271,0.0609,0.0417,0.0313,0.0220,0.0192,0.0373,0.0166,0.1080
Security Delay,0.0000,0.0044,0.0078,0.0015,0.0005,0.0010,0.0008,0.0048,0.0007,0.0015,0.0028,0.0006,0.0000,0.0039,0.0039,0.0052,0.0010,0.0019,0.0011,0.0017,0.0023,0.0038,0.0004,0.0068,0.0059
Cancelled,0.0084,0.0078,0.0079,0.0149,0.0319,0.0250,0.0271,0.0090,0.0066,0.0204,0.0421,0.0274,0.0080,0.0010,0.0175,0.0208,0.0287,0.0450,0.0341,0.0206,0.0110,0.0215,0.0114,0.0086,0.0083
Diverted,0.0021,0.0042,0.0036,0.0027,0.0029,0.0024,0.0021,0.0029,0.0021,0.0027,0.0031,0.0033,0.0018,0.0029,0.0034,0.0017,0.0032,0.0028,0.0015,0.0039,0.0019,0.0014,0.0023,0.0020,0.0019
