,Car Age,Car Age,Car Age,Car Age,Car Age,Car Age,Car Age,Car Age,Car Age,Car Age,Car Age,Car Age,Car Age,Car Age,Car Age,Car Age,Car Age,Car Age,Car Age,Car Age,Car Age,Car Age,Car Age,Car Age,Car Age,Car Age,Car Age,Car Age,Car Age,Car Age,Car Age
Car Characteristics,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,-3
Commercial,"420,528",,"2,525,609","4,157","157,784","112,352","260,777","402,201","708,756","552,324","553,090","438,728","469,609","340,926","241,445","185,665","135,565","79,835","88,783","129,791","47,080","85,251","12,272","5,190","3,041","3,949","6,767",,,0,
Private,"535,443","2,009","2,241,518","30,283","39,985","143,948","270,778","474,884","440,990","569,209","368,316","450,305","277,473","296,652","265,971","182,429","211,280","220,603","166,573","143,824","136,925","56,588","29,825","11,734","3,901",0,"6,623",0,0,,"1,469"
