,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime,Travtime
Car Characteristics,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,95,97,98,99,101,103,105,113,124,134,142
Commercial,"352,533","29,404","35,649","7,330","38,419","30,404","38,682","64,360","88,574","75,034","163,160","88,117","130,693","104,289","282,053","88,247","98,660","193,319","102,397","188,334","163,809","145,981","127,226","148,825","290,736","205,569","225,222","256,797","209,394","219,066","203,352","167,015","225,577","139,576","212,454","208,555","202,740","106,290","115,093","270,499","170,541","139,547","193,393","117,067","107,703","94,981","126,708","156,108","73,170","43,138","101,042","41,908","55,241","42,776","6,651","117,810","34,779","16,304","68,532","21,581","9,984","69,446",0,"24,389","20,781","5,564","14,811",0,"7,150",0,"5,414","4,246","9,510",0,"6,595",0,"4,212",0,,"1,699",0,0,0,"8,351",,0,,,0,0,"6,909",,,,,,0,0,,0
Private,"156,293","60,889","26,529","19,605","85,540","76,698","44,135","80,972","34,931","85,359","97,627","70,099","113,648","53,429","80,498","107,893","89,569","141,119","120,357","216,876","213,984","240,223","198,082","149,529","202,054","160,835","119,555","179,537","165,273","124,233","201,335","154,260","276,476","213,349","146,667","147,891","178,292","175,213","111,910","179,550","189,751","118,921","220,717","177,593","113,989","158,863","120,130","127,288","164,825","36,158","48,166","62,970","89,053","46,659","51,023","66,720","45,752","43,672","72,871","56,254","34,510","29,646","17,139","28,704","5,817","17,646","45,663","5,900","7,261","6,052","6,229",0,"8,964","32,059",0,0,"5,748",0,"5,259",0,0,"2,356","1,357",0,"7,539",0,0,0,,0,0,0,0,0,0,0,,,0,
