Unnamed: 0,Unnamed: 1,Loan Original Amount (bin),Loan Original Amount (bin).1,Loan Original Amount (bin).2,Loan Original Amount (bin).3,Loan Original Amount (bin).4,Loan Original Amount (bin).5,Loan Original Amount (bin).6,Loan Original Amount (bin).7,Loan Original Amount (bin).8,Loan Original Amount (bin).9,Loan Original Amount (bin).10,Loan Original Amount (bin).11,Loan Original Amount (bin).12,Loan Original Amount (bin).13,Loan Original Amount (bin).14,Loan Original Amount (bin).15,Loan Original Amount (bin).16,Loan Original Amount (bin).17,Loan Original Amount (bin).18,Loan Original Amount (bin).19,Loan Original Amount (bin).20,Loan Original Amount (bin).21,Loan Original Amount (bin).22,Loan Original Amount (bin).23,Loan Original Amount (bin).24,Loan Original Amount (bin).25,Loan Original Amount (bin).26,Loan Original Amount (bin).27,Loan Original Amount (bin).28,Loan Original Amount (bin).29,Loan Original Amount (bin).30,Loan Original Amount (bin).31,Loan Original Amount (bin).32
**Default Vs Good-Standing,,0K,1K,2K,3K,4K,5K,7K,8K,9K,10K,11K,12K,13K,14K,15K,16K,17K,19K,20K,21K,22K,23K,24K,25K,26K,27K,28K,29K,31K,32K,33K,34K,35K
Good,% of Total Count of **Default Vs Good-Standing along **Default Vs Good-Standing,73.28%,76.90%,74.56%,82.29%,78.76%,82.41%,79.10%,85.89%,84.86%,89.80%,89.27%,88.12%,88.48%,90.69%,87.40%,88.00%,87.68%,91.31%,93.30%,87.00%,87.71%,75.14%,85.17%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,98.85%
Good,"% of Total Count of Loan Original Amount along **Default Vs Good-Standing, Loan Original Amount (bin)",2.12%,6.38%,7.67%,13.21%,6.54%,4.36%,4.57%,2.98%,2.12%,9.40%,2.72%,1.67%,0.84%,10.15%,0.37%,0.37%,0.70%,0.34%,2.76%,0.15%,0.23%,0.23%,2.78%,0.01%,0.01%,0.03%,0.00%,0.10%,0.02%,0.02%,0.01%,0.01%,0.38%
Bad,% of Total Count of **Default Vs Good-Standing along **Default Vs Good-Standing,17.27%,15.28%,15.87%,11.33%,13.97%,11.35%,14.12%,8.51%,9.32%,5.76%,6.72%,6.93%,6.08%,5.46%,5.99%,8.00%,7.15%,4.93%,3.70%,7.00%,7.17%,14.86%,8.34%,,,,,,,,,,
Bad,"% of Total Count of Loan Original Amount along **Default Vs Good-Standing, Loan Original Amount (bin)",0.50%,1.27%,1.63%,1.82%,1.16%,0.60%,0.82%,0.29%,0.23%,0.60%,0.20%,0.13%,0.06%,0.61%,0.03%,0.03%,0.06%,0.02%,0.11%,0.01%,0.02%,0.05%,0.27%,,,,,,,,,,
Risky,% of Total Count of **Default Vs Good-Standing along **Default Vs Good-Standing,9.44%,7.82%,9.58%,6.38%,7.27%,6.24%,6.79%,5.60%,5.82%,4.44%,4.01%,4.94%,5.44%,3.85%,6.61%,4.00%,5.17%,3.76%,2.99%,6.00%,5.12%,10.00%,6.49%,,,,,,,,,,1.15%
Risky,"% of Total Count of Loan Original Amount along **Default Vs Good-Standing, Loan Original Amount (bin)",0.27%,0.65%,0.98%,1.02%,0.60%,0.33%,0.39%,0.19%,0.15%,0.47%,0.12%,0.09%,0.05%,0.43%,0.03%,0.02%,0.04%,0.01%,0.09%,0.01%,0.01%,0.03%,0.21%,,,,,,,,,,0.00%
